"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"11",6001114,8,1,3,3,35,35,24,22,41,39,11,11,36,38,7,4,36,0,3,9,1,3,3,43,43,38,38,39,39,15,14,38,42,12,7,39,0,3,3,1
"12",6001115,8,1,1,1,34,33,21,21,33,46,15,6,25,25,4,1,28,0,3,9,1,1,1,31,30,24,24,31,47,20,8,40,61,23,8,32,0,3,3,0
"13",6001116,9,1,1,1,36,36,25,23,31,29,5,5,30,35,6,2,30,0,3,10,1,1,1,41,41,36,35,30,29,8,7,32,27,6,4,32,0,3,3,0
"14",6001117,8,1,1,1,32,31,19,19,33,31,6,6,36,35,6,4,32,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15",6001118,10,1,1,1,46,47,36,34,41,41,12,11,25,25,0,0,36,1,3,10,1,1,1,44,46,42,39,42,44,18,16,25,25,0,0,35,1,3,3,0
"16",6001119,8,1,1,1,56,56,46,46,64,62,25,25,48,55,17,9,57,0,3,9,1,1,1,50,50,46,46,57,55,25,25,42,52,18,9,50,0,3,3,0
"17",6001120,7,1,3,3,25,25,0,0,25,25,0,0,25,25,0,0,25,0,3,8,1,3,3,27,30,24,19,25,25,4,3,26,31,7,2,25,0,3,3,0
"18",6001121,8,1,1,1,47,47,36,35,48,46,15,15,39,44,10,5,44,0,3,8,1,2,1,60,60,58,58,53,57,26,23,40,49,16,8,51,0,3,3,0
"19",6001122,8,NA,1,1,59,59,50,49,58,56,21,21,43,49,13,7,54,0,3,8,1,1,1,61,62,60,59,58,59,27,26,40,47,15,8,53,0,3,3,0
"20",6001202,8,2,1,NA,47,46,24,24,52,50,10,10,39,41,4,2,45,0,2,8,2,1,2,43,43,30,29,46,46,14,13,37,43,9,4,41,0,2,2,0
