"","pid","treat","treat_drop","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","klassenstufe"
"139","d403",0,0,8,1,1,2,46,45,34,34,46,45,14,14,48,54,16,9,46,0,8,1,1,2,48,50,46,44,58,57,26,26,46,57,21,11,51,0,3
"140","d404",0,0,8,1,1,2,55,55,45,45,56,54,20,20,43,44,10,7,51,0,8,1,1,2,49,49,45,45,44,42,17,17,40,50,17,8,44,0,3
"141","d405",0,0,8,1,1,2,63,62,54,54,64,64,26,25,46,51,14,8,59,0,9,1,1,2,58,58,56,55,62,64,30,28,50,67,26,13,57,0,3
"142","d406",0,0,8,1,1,1,40,39,28,28,54,53,19,19,43,54,16,7,45,0,9,1,1,1,52,51,48,48,57,55,25,25,42,52,18,9,50,0,3
"143","d407",0,0,8,1,2,1,48,48,37,36,46,45,14,14,39,42,9,5,44,0,9,NA,2,1,51,51,48,47,42,41,16,16,38,45,14,7,43,0,3
"144","d408",0,1,8,1,1,1,49,48,37,37,54,53,19,19,43,51,14,7,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"145","d409",0,0,8,1,1,2,68,67,60,60,64,64,26,25,52,69,26,11,63,0,9,1,1,2,62,62,60,60,69,68,32,32,50,67,26,13,62,0,3
"146","d410",0,0,9,1,1,2,55,56,46,45,48,51,18,15,43,47,12,7,48,0,10,1,2,2,37,37,31,31,50,49,21,21,40,49,16,8,41,0,3
"147","d411",0,0,8,3,1,2,43,42,31,31,41,41,12,11,41,44,10,6,41,0,9,3,2,2,42,41,36,36,44,42,17,17,40,47,15,8,41,0,3
"148","d412",0,0,7,1,1,1,48,47,36,36,49,48,16,16,46,51,14,8,47,0,8,1,1,1,42,41,36,36,53,52,23,23,38,47,15,7,44,0,3
"149","d413",0,0,8,1,1,2,63,62,54,54,64,62,25,25,48,55,17,9,59,0,9,1,1,2,61,61,59,59,66,66,31,30,48,59,22,12,59,0,3
"150","d414",1,0,8,3,2,2,47,47,36,35,38,39,11,9,39,42,9,5,40,0,9,3,3,2,52,52,49,48,41,39,15,15,36,38,10,6,42,0,3
"151","d415",1,0,10,1,1,2,45,45,34,33,33,34,8,6,39,40,8,5,38,0,10,1,1,2,36,35,29,29,41,39,15,15,36,42,12,6,36,0,3
